Fecha,Categoría,Región,Cliente,Ventas,Cantidad,Descuento,Subcategoría
2031-10-23,Panadería,Sucursal Este,Corporativo,2818,23,20,Pan
2031-06-17,Lácteos,Sucursal Este,Cliente Ocasional,500,5,20,Quesos
2025-09-08,Lácteos,Sucursal Sur,Corporativo,4974,10,10,Leche
2033-02-12,Limpieza,Sucursal Norte,Corporativo,4912,20,0,Esponjas
2036-04-15,Limpieza,Sucursal Norte,Corporativo,4041,26,10,Detergentes
2038-01-19,Carnes,Sucursal Sur,Mayorista,3473,19,5,Res
2036-05-10,Lácteos,Sucursal Centro,Mayorista,4840,37,0,Leche
2026-05-13,Bebidas,Sucursal Norte,Cliente Frecuente,2594,34,15,Café
2038-01-14,Bebidas,Sucursal Centro,Cliente Ocasional,4743,13,15,Café
2022-04-07,Lácteos,Sucursal Norte,Corporativo,4075,17,10,Quesos
2033-05-06,Alimentos,Sucursal Sur,Corporativo,1677,26,15,Enlatados
2033-06-01,Bebidas,Sucursal Norte,Cliente Ocasional,3697,30,0,Jugos
2037-07-05,Bebidas,Sucursal Oeste,Cliente Frecuente,1852,17,0,Refrescos
2024-07-31,Bebidas,Sucursal Centro,Cliente Frecuente,3148,18,0,Jugos
2022-04-22,Lácteos,Sucursal Sur,Mayorista,3843,45,5,Leche
2031-07-14,Carnes,Sucursal Sur,Mayorista,422,33,0,Pescado
2025-09-25,Bebidas,Sucursal Norte,Cliente Ocasional,4891,37,20,Jugos
2029-12-04,Panadería,Sucursal Centro,Cliente Ocasional,4076,37,0,Pasteles
2031-02-08,Limpieza,Sucursal Oeste,Corporativo,2640,20,5,Desinfectantes
2024-12-28,Limpieza,Sucursal Oeste,Cliente Ocasional,4608,36,10,Detergentes
2027-01-22,Lácteos,Sucursal Oeste,Cliente Frecuente,4871,37,10,Leche
2034-06-14,Panadería,Sucursal Centro,Cliente Frecuente,2231,8,5,Galletas
2027-08-13,Bebidas,Sucursal Norte,Cliente Frecuente,4733,42,5,Té
2022-02-09,Limpieza,Sucursal Este,Mayorista,3300,12,5,Desinfectantes
2025-09-08,Panadería,Sucursal Centro,Corporativo,1420,46,15,Pan
2037-07-20,Bebidas,Sucursal Sur,Corporativo,4715,16,0,Refrescos
2025-03-05,Alimentos,Sucursal Centro,Mayorista,4815,14,20,Frescos
2027-03-13,Lácteos,Sucursal Sur,Mayorista,759,16,0,Yogurt
2033-06-27,Panadería,Sucursal Norte,Mayorista,3272,27,20,Pan
2028-08-25,Lácteos,Sucursal Sur,Cliente Ocasional,4888,49,5,Yogurt
2030-11-27,Alimentos,Sucursal Oeste,Corporativo,2083,30,15,Enlatados
2025-10-14,Panadería,Sucursal Oeste,Cliente Frecuente,1863,4,20,Galletas
2032-10-12,Lácteos,Sucursal Norte,Cliente Frecuente,480,5,5,Yogurt
2033-10-19,Lácteos,Sucursal Sur,Cliente Ocasional,4396,37,5,Leche
2032-02-20,Lácteos,Sucursal Centro,Cliente Ocasional,1934,48,5,Quesos
2035-07-30,Limpieza,Sucursal Centro,Cliente Ocasional,118,43,5,Detergentes
2037-02-22,Carnes,Sucursal Centro,Corporativo,427,45,0,Cerdo
2028-05-27,Alimentos,Sucursal Sur,Cliente Ocasional,4117,40,5,Frescos
2023-08-12,Limpieza,Sucursal Centro,Mayorista,4351,32,15,Detergentes
2026-09-01,Bebidas,Sucursal Norte,Corporativo,2597,48,15,Refrescos
2032-11-15,Lácteos,Sucursal Oeste,Mayorista,4380,35,10,Quesos
2033-07-04,Limpieza,Sucursal Este,Corporativo,4314,32,5,Detergentes
2024-04-17,Bebidas,Sucursal Este,Cliente Ocasional,1695,6,15,Café
2029-03-09,Panadería,Sucursal Centro,Cliente Ocasional,4311,40,0,Pasteles
2035-07-11,Bebidas,Sucursal Sur,Corporativo,3632,10,20,Refrescos
2025-12-13,Lácteos,Sucursal Sur,Corporativo,4536,36,15,Quesos
2024-04-06,Panadería,Sucursal Este,Corporativo,1838,9,0,Pasteles
2025-11-19,Lácteos,Sucursal Norte,Corporativo,2293,21,10,Quesos
2032-07-29,Panadería,Sucursal Centro,Corporativo,4364,48,20,Pasteles
2037-12-25,Carnes,Sucursal Sur,Corporativo,911,46,10,Res
2033-08-13,Lácteos,Sucursal Norte,Cliente Frecuente,768,47,20,Quesos
2034-05-05,Bebidas,Sucursal Norte,Cliente Frecuente,155,3,5,Té
2026-11-25,Panadería,Sucursal Sur,Cliente Frecuente,3529,8,15,Pasteles
2030-11-27,Bebidas,Sucursal Norte,Cliente Ocasional,154,30,5,Café
2025-10-21,Lácteos,Sucursal Norte,Corporativo,4037,24,20,Yogurt
2023-01-07,Limpieza,Sucursal Este,Cliente Frecuente,744,36,15,Detergentes
2030-11-01,Bebidas,Sucursal Centro,Mayorista,699,21,20,Refrescos
2029-07-31,Lácteos,Sucursal Centro,Cliente Ocasional,52,18,20,Yogurt
